,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Topic: Output, Saving and Investment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Output, Saving & Investment At Current Prices, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 15/02/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
  Net Current Transfers From Abroad,"-9,899","-10,498.3","-9,052.1","-7,378.3","-10,006.4","-7,543.7","-8,022.5","-7,776","-7,877.7","-6,683.7","-7,515.8","-5,413.6","-5,201.9","-4,080.8","-2,612.5","-2,064.2","-1,982.8","-1,690.8","-2,583.5","-2,243.8","-1,084","-1,366","-1,692.2","-1,663.3","-1,397.6","-1,255.9","-1,141.5",-975.7,-824.2,-765,-682.1,-574.2,-462.4,-376.5,-358.1,-415.7,-512.7,-543.6,-549.7,-475.9,-335.4,-76.1,-88.4,-108.3,-121.1,-92.3,-95.1,-10.1,6.4,2.8,8.1,-16.8,-13.5,-1.8,-21.9,-46.5,-60.8,-21,-15.2,-18.1,-35.3
Gross Capital Formation,"106,106.2","125,942.5","126,714.6","129,553.2","116,591.3","107,356.7","117,410.4","115,382.2","107,913.1","93,787.1","90,436.9","77,291.7","82,619.9","62,900.3","52,850.6","45,750.2","44,510.5","29,302","41,546.5","44,419.6","58,259.6","47,812.1","45,180.3","56,744.9","47,576.5","42,169.8","37,044.3","36,429.4","30,160","26,688.8","25,132.7","20,882.1","17,850.8","16,634.4","14,949.6","16,794.3","19,583.1","17,678.2","15,723.2","13,592.6","11,648.6","8,904","6,942.6","5,763.1","5,940.8","5,327.8","5,709.8","4,045.2","3,392.7","2,778.1","2,244.5","1,437.4","1,075.2",831.2,729.4,647.7,542.2,487.1,391.2,269.8,244.5
  Gross National Saving,"188,595","198,786.8","204,859","211,416.7","193,974.4","186,511.2","189,022.4","175,834.5","172,976.3","171,855.6","165,424.4","123,584.8","123,939.7","136,919.5","116,361.7","95,230.6","82,057.7","70,644.2","66,197.5","67,640.1","76,597.6","72,973.2","76,445.7","79,891.7","67,437.1","62,702.2","54,249.4","43,065.8","39,695.5","35,108.4","30,828.4","26,690.5","21,768.8","16,417.4","15,682.5","16,839","18,724.1","16,298.7","12,838.6","10,334.9","8,195","7,553.3","6,128.1","5,227.8","4,697.4","4,078.5","3,336.6","2,869.8","2,085.4","1,359.3","1,191.4","1,025.3",909.7,648.7,571.3,367.1,270.7,124.2,162,-44.4,-46
"  Net Borrowing From/ Lending '-' To Abroad & Net Capital Transfers From Abroad","-82,488.8","-72,844.3","-78,144.4","-81,863.5","-77,383.1","-79,154.5","-71,612","-60,452.3","-65,063.2","-78,068.5","-74,987.5","-46,293.1","-41,319.8","-74,019.2","-63,511.1","-49,480.4","-37,547.2","-41,342.2","-24,651","-23,220.5","-18,338","-25,161.1","-31,265.4","-23,146.8","-19,860.6","-20,532.4","-17,205.1","-6,636.4","-9,535.5","-8,419.6","-5,695.7","-5,808.4","-3,918",217,-732.9,-44.7,858.9,"1,379.5","2,884.6","3,257.7","3,453.6","1,350.7",814.5,535.3,"1,243.4","1,249.3","2,373.2","1,175.4","1,307.3","1,418.8","1,053.1",412.1,165.5,182.5,158.1,280.6,271.5,362.9,229.2,314.2,290.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data may not add up to the total due to rounding. For more information on national accounts methodologies, please visit Singstat website (www.singstat.gov.sg/find-data/search-by-theme/economy/national-accounts/publications-and-methodology) to view and download related publications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government Consumption Expenditure:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditures incurred by the general government on consumption goods and services provided to the general public.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Capital Formation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total value of gross fixed capital formation and changes in inventories.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Domestic Product:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aggregate value of the goods and services produced in the economic territory of Singapore. The GDP estimates are compiled based on the output (or production), expenditure and income approaches. See Output-based GDP, Expenditure-based GDP and Income-based GDP.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross National Income:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The aggregate value of the gross balances of primary incomes (incomes arising from the involvement in production processes or ownership of assets) receivable by resident units. See net national income.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income from Abroad:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary income received by residents of a country from abroad less primary income paid abroad to non-residents. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na  not available or not applicablenec  not elsewhere classifiednes  not elsewhere specified-    nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NotesNumbers may not add up to the totals due to rounding.Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 29/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
