Data Series,2021 3Q,2021 2Q,2021 1Q,2020 4Q,2020 3Q,2020 2Q,2020 1Q,2019 4Q,2019 3Q,2019 2Q,2019 1Q,2018 4Q,2018 3Q,2018 2Q,2018 1Q,2017 4Q,2017 3Q,2017 2Q,2017 1Q,2016 4Q,2016 3Q,2016 2Q,2016 1Q,2015 4Q,2015 3Q,2015 2Q,2015 1Q,2014 4Q,2014 3Q,2014 2Q,2014 1Q,2013 4Q,2013 3Q,2013 2Q,2013 1Q,2012 4Q,2012 3Q,2012 2Q,2012 1Q,2011 4Q,2011 3Q,2011 2Q,2011 1Q,2010 4Q,2010 3Q,2010 2Q,2010 1Q,2009 4Q,2009 3Q,2009 2Q,2009 1Q,2008 4Q,2008 3Q,2008 2Q,2008 1Q,2007 4Q,2007 3Q,2007 2Q,2007 1Q,2006 4Q,2006 3Q,2006 2Q,2006 1Q,2005 4Q,2005 3Q,2005 2Q,2005 1Q,2004 4Q,2004 3Q,2004 2Q,2004 1Q,2003 4Q,2003 3Q,2003 2Q,2003 1Q,2002 4Q,2002 3Q,2002 2Q,2002 1Q,2001 4Q,2001 3Q,2001 2Q,2001 1Q,2000 4Q,2000 3Q,2000 2Q,2000 1Q,1999 4Q,1999 3Q,1999 2Q,1999 1Q,1998 4Q,1998 3Q,1998 2Q,1998 1Q,1997 4Q,1997 3Q,1997 2Q,1997 1Q,1996 4Q,1996 3Q,1996 2Q,1996 1Q,1995 4Q,1995 3Q,1995 2Q,1995 1Q,1994 4Q,1994 3Q,1994 2Q,1994 1Q,1993 4Q,1993 3Q,1993 2Q,1993 1Q,1992 4Q,1992 3Q,1992 2Q,1992 1Q,1991 4Q,1991 3Q,1991 2Q,1991 1Q,1990 4Q,1990 3Q,1990 2Q,1990 1Q,1989 4Q,1989 3Q,1989 2Q,1989 1Q,1988 4Q,1988 3Q,1988 2Q,1988 1Q,1987 4Q,1987 3Q,1987 2Q,1987 1Q,1986 4Q,1986 3Q,1986 2Q,1986 1Q,1985 4Q,1985 3Q,1985 2Q,1985 1Q,1984 4Q,1984 3Q,1984 2Q,1984 1Q,1983 4Q,1983 3Q,1983 2Q,1983 1Q,1982 4Q,1982 3Q,1982 2Q,1982 1Q,1981 4Q,1981 3Q,1981 2Q,1981 1Q,1980 4Q,1980 3Q,1980 2Q,1980 1Q
  Accommodation & Food Services,-272.6,-234.7,-253.4,-364.2,-436.3,-816.5,54.5,109.4,108.6,106.3,138.7,100.9,98.7,97.0,121.1,93.5,88.5,90.1,111.7,83.7,77.8,73.8,95.4,53.6,46.6,44.6,64.3,62.1,58.5,54.1,73.4,79.7,74.9,71.1,90.6,83.7,76.3,73.2,92.6,76.1,66.3,57.7,70.5,55.8,44.5,35.7,41.2,3.1,0.3,-1.1,18.6,46.3,40.1,37.2,46.4,33.6,31.1,28.1,34.3,25.7,24.6,22.9,29.6,21.3,20.4,18.5,24.6,17.2,17.6,15.8,21.6,14.0,13.2,12.6,18.9,14.0,15.6,12.9,16.0,11.1,14.6,15.7,22.4,14.8,17.4,14.5,19.3,15.2,18.7,11.2,18.3,18.3,16.7,18.9,24.4,22.9,23.8,19.6,25.1,22.5,22.7,15.4,19.2,20.8,21.9,20.2,26.0,22.8,21.0,21.2,24.5,22.1,18.8,16.9,18.6,17.7,16.5,14.2,18.1,16.3,14.7,13.1,14.7,14.6,13.8,11.0,14.7,12.4,9.3,8.3,8.0,8.2,6.8,6.4,7.2,9.7,7.4,6.4,6.0,9.0,9.0,7.4,9.3,12.7,12.4,17.5,23.3,20.2,18.9,17.7,21.2,16.4,17.6,15.4,16.9,18.4,17.2,16.6,20.8,15.7,16.7,12.8,16.6,11.8,12.4,10.3,13.8
    Accommodation,-24.7,-22.9,-22.5,-98.8,-157.8,-165.4,9.2,48.7,48.3,47.0,78.9,43.4,42.1,40.5,62.8,42.6,38.1,39.4,59.6,40.5,37.2,38.5,59.4,33.7,28.7,28.3,47.2,34.2,32.8,32.1,49.1,47.1,42.3,41.9,62.7,45.7,39.9,41.3,61.7,42.2,36.2,34.3,47.2,26.8,19.2,19.3,30.7,14.8,9.4,7.7,22.7,22.2,17.0,18.0,27.7,16.1,13.1,13.7,20.5,12.2,10.4,11.2,17.7,10.3,8.7,9.0,14.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Food & Beverage Services,-247.9,-211.8,-230.9,-265.4,-278.5,-651.1,45.3,60.7,60.3,59.3,59.8,57.5,56.6,56.5,58.3,50.9,50.4,50.7,52.1,43.2,40.6,35.3,36.0,19.9,17.9,16.3,17.1,27.9,25.7,22.0,24.3,32.6,32.6,29.2,27.9,38.0,36.4,31.9,30.9,33.9,30.1,23.4,23.3,29.0,25.3,16.4,10.5,-11.7,-9.1,-8.8,-4.1,24.1,23.1,19.2,18.7,17.5,18.0,14.4,13.8,13.5,14.2,11.7,11.9,11.0,11.7,9.5,9.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Information & Communications,-41.0,-36.6,-80.7,-277.6,-244.4,-660.7,60.1,63.3,64.0,63.6,78.7,64.5,64.0,62.0,71.2,58.1,56.5,57.6,64.4,52.9,45.4,45.2,56.6,44.9,41.1,40.3,50.0,53.5,52.0,49.8,57.4,49.2,46.6,45.1,58.1,57.5,54.5,54.2,63.1,55.5,52.2,50.9,57.2,49.1,41.9,33.5,30.0,-8.9,-10.1,-10.6,7.1,44.3,39.8,38.7,53.9,47.4,45.9,44.5,46.7,41.7,39.9,39.3,49.7,40.4,39.9,39.9,46.2,37.8,38.4,38.2,50.3,37.3,37.2,36.8,39.9,31.8,34.9,31.5,33.6,31.7,36.8,38.3,38.6,29.7,34.4,30.3,61.7,32.3,28.1,27.2,30.1,30.2,29.6,31.9,26.0,28.1,29.1,25.5,25.8,15.6,15.9,14.9,15.0,13.3,13.7,13.8,17.9,13.0,13.2,12.7,12.5,17.9,17.9,8.9,7.9,11.5,11.7,13.8,12.5,9.4,9.0,8.1,9.6,4.8,4.4,6.3,7.2,6.5,7.1,6.3,7.5,6.4,7.0,6.0,7.1,6.0,6.7,6.0,7.2,7.9,8.3,2.4,3.1,4.6,5.0,5.4,6.1,2.9,3.4,3.0,3.5,3.2,3.6,2.6,3.0,2.5,2.8,2.4,2.8,5.4,4.3,3.0,3.1,2.2,2.3,1.8,1.8
  Finance & Insurance,-97.5,-98.6,-167.2,-553.0,-504.7,"-1,170.5",27.6,28.6,29.8,29.5,49.8,30.2,32.4,29.8,42.9,16.6,17.7,16.5,25.2,16.4,13.7,8.6,23.3,10.7,5.4,-0.8,15.0,30.5,28.7,25.3,39.7,32.2,28.9,26.3,39.1,36.7,34.2,33.3,44.5,38.0,33.9,31.6,41.4,30.3,20.5,0.3,-12.9,-76.4,-78.1,-79.4,-53.0,38.3,31.7,29.0,42.9,28.0,25.9,22.7,33.5,23.1,21.3,18.8,30.2,19.6,19.3,18.0,28.6,18.5,20.3,18.9,28.2,13.0,11.4,10.5,20.2,13.9,15.8,13.2,17.1,12.0,16.5,17.7,27.7,19.4,23.8,19.1,27.0,27.8,35.1,15.6,31.7,25.8,22.9,25.8,36.8,30.2,32.8,23.8,37.3,34.5,34.6,19.1,26.6,23.8,26.1,23.0,35.9,26.4,22.9,22.0,29.4,33.3,25.1,21.5,24.7,24.5,21.5,17.7,26.4,22.2,19.6,16.7,21.0,17.3,16.9,12.1,19.9,21.3,14.7,13.3,12.5,16.2,12.7,12.2,15.1,23.3,16.5,13.1,15.5,15.9,15.6,12.8,14.6,14.8,14.7,21.2,31.4,20.9,19.5,18.0,21.3,16.6,17.6,15.4,17.6,17.4,16.4,16.6,18.3,14.4,16.1,12.6,14.6,12.6,13.2,10.4,12.3
"  Real Estate, Professional Services And Administrative & Support Services",-104.4,-179.7,151.3,"-1,053.7","-1,034.4","-2,188.3",423.6,489.1,484.1,470.6,763.5,504.5,487.6,466.0,719.7,445.0,399.2,412.0,632.2,395.4,361.4,373.3,586.1,393.0,327.0,317.8,566.1,369.9,354.4,341.7,527.7,373.1,332.3,323.6,481.0,340.5,296.0,302.3,446.1,387.8,334.9,319.0,438.8,255.2,179.7,166.8,263.6,39.0,-7.3,-9.8,277.7,367.1,289.3,261.3,480.8,255.7,224.3,205.2,381.8,188.8,178.8,148.3,337.6,170.9,162.1,148.8,300.8,149.7,150.9,150.1,292.4,105.6,97.0,91.5,218.7,95.1,149.5,85.0,165.9,94.4,159.8,376.7,243.4,119.7,191.9,120.4,202.4,156.1,157.9,123.4,153.3,246.2,270.6,299.3,358.2,397.8,398.4,306.9,381.7,362.0,363.9,298.5,354.7,260.2,271.2,268.8,308.6,291.8,269.0,259.8,281.6,257.0,240.2,219.5,247.6,200.1,184.6,171.5,195.9,156.9,169.8,141.5,142.7,154.8,142.5,111.9,142.2,126.8,123.0,113.3,118.2,83.9,89.1,86.5,81.1,66.3,80.5,89.1,95.5,67.1,85.8,72.9,94.7,86.5,99.9,120.2,112.3,100.1,115.5,98.4,102.2,88.6,98.3,72.0,77.4,91.0,89.4,84.9,91.1,83.5,78.1,70.4,69.9,61.2,63.1,54.5,53.7
    Real Estate,274.0,290.0,549.9,28.3,-153.3,-81.3,342.2,359.5,356.7,342.6,626.6,388.4,374.6,359.8,608.3,367.6,322.9,333.9,546.5,337.4,305.4,322.9,531.2,397.6,334.6,325.2,566.4,315.3,305.7,303.9,484.3,305.4,268.8,269.9,426.0,264.1,227.0,243.3,387.2,323.0,275.5,268.8,386.2,200.0,132.1,152.2,276.8,135.1,93.7,91.7,349.6,286.4,222.9,201.4,412.7,199.6,172.0,158.5,328.1,146.6,137.4,115.3,290.5,133.6,125.2,114.3,258.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Professional Services,-214.6,-264.4,-263.7,-619.0,-515.7,"-1,220.7",43.0,59.2,58.4,57.5,64.9,54.7,52.8,46.3,50.0,29.9,29.3,29.5,34.8,21.6,20.8,17.9,21.5,-6.8,-8.1,-8.8,-3.8,23.6,21.3,16.0,19.6,31.9,28.9,23.7,25.0,32.3,28.8,23.5,23.9,25.7,23.1,19.5,21.1,20.6,15.8,-5.3,-24.3,-71.6,-73.2,-73.1,-60.5,30.8,23.4,21.7,26.2,21.4,18.8,17.0,20.5,16.4,14.8,11.5,17.7,14.1,12.9,12.7,16.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Administrative & Support Services,-163.8,-205.3,-134.9,-463.0,-365.4,-886.3,38.4,70.4,69.0,70.5,72.0,61.4,60.2,59.9,61.4,47.5,47.0,48.6,50.9,36.4,35.2,32.5,33.4,2.3,0.4,1.5,3.4,30.9,27.5,21.9,23.7,35.8,34.6,30.0,30.0,44.1,40.3,35.5,34.8,39.1,36.3,30.7,31.5,34.5,31.8,19.9,11.1,-24.3,-27.8,-28.6,-11.4,49.9,43.0,38.1,42.0,34.8,33.5,29.8,33.2,25.8,26.6,21.5,29.3,23.2,24.0,21.8,26.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Other Services Industries,-189.5,-263.6,-127.2,-626.9,-609.5,"-1,695.0",149.1,218.6,218.9,207.9,268.4,195.6,194.4,189.6,238.1,174.8,165.5,168.2,214.9,161.3,151.8,149.9,197.9,88.2,78.1,96.4,140.1,164.8,158.5,150.3,182.9,210.2,196.8,190.5,254.0,236.1,221.6,218.2,256.0,220.9,206.6,198.6,227.1,169.1,145.1,137.1,135.8,23.1,24.9,22.0,55.7,148.9,137.2,133.7,151.7,135.3,134.9,137.2,150.9,136.6,130.1,124.6,141.1,124.5,119.9,127.3,153.7,139.0,158.1,163.0,171.5,160.0,156.8,156.4,167.2,159.7,163.3,156.8,161.4,154.2,159.2,158.1,167.7,155.1,158.1,149.9,156.6,129.8,174.4,130.2,153.7,161.0,155.0,152.7,162.7,155.0,151.4,140.9,160.2,144.7,148.6,123.1,136.5,121.2,121.8,113.5,126.2,104.6,100.6,118.2,103.7,103.7,95.2,89.8,92.2,82.1,77.5,69.4,70.2,65.6,59.7,55.9,56.8,56.6,50.5,45.9,49.1,36.1,33.0,28.7,27.7,21.5,20.1,18.7,20.6,20.4,17.8,16.6,17.1,16.6,16.1,14.5,19.3,17.1,22.6,21.1,24.7,21.0,19.0,17.1,19.6,15.7,15.9,13.9,14.7,14.4,13.7,13.2,14.6,11.7,12.8,9.8,11.6,8.9,9.5,7.8,9.3
  Ownership Of Dwellings,197.0,182.8,337.5,199.7,200.2,188.8,341.8,207.1,203.4,195.1,334.4,214.9,206.7,201.6,327.1,220.2,196.0,205.7,326.9,220.1,196.5,209.8,335.3,247.5,202.4,199.7,337.9,219.7,214.4,216.3,327.8,213.5,183.9,187.4,285.3,183.8,154.3,168.5,255.3,186.0,155.6,158.0,204.1,168.6,108.4,144.8,227.0,110.6,76.0,76.3,253.6,149.3,111.1,99.7,167.6,113.6,98.5,94.0,156.6,87.3,79.2,81.8,144.6,82.6,80.6,79.7,139.5,71.0,71.6,74.5,121.4,61.4,61.2,58.3,120.9,63.0,96.3,62.2,99.8,24.2,69.7,85.3,132.8,62.3,101.2,71.5,104.5,76.7,76.7,77.2,77.3,68.2,68.2,90.4,90.4,88.1,88.2,72.3,72.3,70.0,70.1,76.5,76.6,68.6,68.6,75.7,75.5,73.4,73.3,72.0,72.0,72.6,72.6,71.2,71.2,68.5,68.5,63.0,63.1,62.9,62.9,55.5,55.5,62.7,62.7,53.7,53.7,30.9,30.9,32.4,32.4,29.0,29.0,26.8,26.9,25.0,25.1,29.8,29.9,29.0,28.7,26.9,27.2,44.3,44.4,54.8,55.1,63.1,63.0,62.1,62.5,54.5,54.5,45.8,46.1,42.2,42.2,40.2,40.4,44.2,44.4,35.8,36.2,34.5,34.4,33.2,33.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The industries are classified according to SSIC 2015 (version 2018). For more information on national accounts methodologies, please visit Singstat website (www.singstat.gov.sg/find-data/search-by-theme/economy/national-accounts/publications-and-methodology) to view and download related publications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total - Other Goods Industries (Million Dollars):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comprise agriculture, fishing and quarrying.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na  not available or not applicablenec  not elsewhere classifiednes  not elsewhere specified-    nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NotesNumbers may not add up to the totals due to rounding.Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 29/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
